Date,Open,High,Low,Close,Volume
2010-12-01,143.6100,145.1300,143.5100,144.4100,6822800
2010-12-02,144.3300,145.8500,144.3000,145.1800,5374000
2010-12-03,144.2500,145.6800,144.2500,145.3800,3710600
2010-12-06,144.5400,145.8700,144.5200,144.9900,3321800
2010-12-07,146.0200,146.2999,143.8700,144.0200,4828600
2010-12-08,144.3500,145.6500,143.8400,144.9800,4961400
2010-12-09,145.9400,145.9400,143.5200,144.3000,4405300
2010-12-10,144.8800,144.9500,143.7300,144.8200,3503800
2010-12-13,145.1400,145.4000,144.2100,144.2800,4741000
2010-12-14,144.2600,146.0100,144.2600,145.8200,4800800
2010-12-15,145.1300,145.7200,144.3100,144.7200,4447400
2010-12-16,144.8400,145.3200,144.1500,144.5500,4178600
2010-12-17,144.6900,145.5000,144.4000,145.0000,10027000
2010-12-20,145.3900,145.5400,144.3900,144.5100,3995000
2010-12-21,144.9900,145.9900,144.3300,145.7400,3777100
2010-12-22,145.6600,146.4000,145.5800,145.9500,3388800
2010-12-23,145.8900,146.3300,145.3300,145.8900,2424500
2010-12-27,145.1200,145.7000,145.0000,145.3400,2314700
2010-12-28,145.3100,146.1500,145.0600,145.7100,2699600
2010-12-29,146.0000,147.5000,145.7100,146.5200,3661100
2010-12-30,146.3600,147.1100,146.2500,146.6700,3039100
2010-12-31,146.7300,147.0700,145.9600,146.7600,2969800
2011-01-03,147.2100,148.2000,147.1400,147.4800,4603800
2011-01-04,147.5600,148.2200,146.6400,147.6400,5060100
2011-01-05,147.3400,147.4800,146.7300,147.0500,4657400
2011-01-06,147.1300,148.7900,146.8200,148.6600,5029200
2011-01-07,148.7900,148.8600,146.9400,147.9300,4135700
2011-01-10,147.5800,148.0600,147.2300,147.6400,3633400
2011-01-11,148.2000,148.3500,146.7500,147.2800,4163600
2011-01-12,147.9900,149.2900,147.6700,149.1000,4091500
2011-01-13,149.2400,149.2900,148.2500,148.8200,3445800
2011-01-14,148.8900,150.0000,148.4700,150.0000,4544200
2011-01-18,149.8200,151.4650,149.3800,150.6500,9176900
2011-01-19,153.2600,156.1300,152.8301,155.6900,12141000
2011-01-20,154.5300,155.9600,154.4500,155.8000,7439900
2011-01-21,156.4000,156.7800,154.9600,155.5000,7009000
2011-01-24,155.4200,159.7900,155.3300,159.6300,7285100
2011-01-25,159.2100,164.3500,159.0000,161.4400,8260800
2011-01-26,161.6700,161.9040,160.4200,161.0400,5353100
2011-01-27,161.4300,162.1800,160.8600,161.0700,4878300
2011-01-28,161.0500,161.9201,158.6700,159.2100,6725600
2011-01-31,159.1800,162.0000,158.6800,162.0000,7197200
2011-02-01,162.1100,163.9400,162.0000,163.5600,5831300
2011-02-02,163.4000,163.6000,162.6100,163.3000,3904000
2011-02-03,163.1600,164.2000,162.8100,163.5300,4683400
2011-02-04,163.4800,164.1400,163.2200,164.0000,3755200
2011-02-07,164.0800,164.9900,164.0200,164.8200,4928100
2011-02-08,164.8200,166.2500,164.3200,166.0500,5612600
2011-02-09,165.6200,165.9700,164.1000,164.6500,4633600
2011-02-10,163.9000,165.0000,163.1800,164.0900,5737800
2011-02-11,163.9800,165.0100,163.3100,163.8500,5185200
2011-02-14,164.1800,164.3800,162.8500,163.2200,4129800
2011-02-15,162.8900,163.5700,162.5200,162.8400,3768700
2011-02-16,163.3300,163.6000,162.7500,163.4000,3216000
2011-02-17,163.3000,164.6700,162.8500,164.2400,3230500
2011-02-18,164.4600,164.8400,164.1000,164.8400,4245000
2011-02-22,163.5700,164.2600,161.7800,161.9500,5209300
2011-02-23,161.8100,162.6800,160.1400,160.1800,5998100
2011-02-24,159.6300,161.2700,159.0300,160.7700,5707500
2011-02-25,161.0600,162.3400,160.8600,162.2800,4518400
2011-02-28,162.3600,162.9900,161.2400,161.8800,4773000
2011-03-01,163.1500,163.1500,159.8800,159.9700,4382800
2011-03-02,159.4300,161.1100,159.4100,160.1600,3413000
2011-03-03,161.4200,164.0000,161.2700,163.4800,4057800
2011-03-04,163.4000,164.3100,160.6500,161.8300,4910700
2011-03-07,161.6000,162.9800,158.8500,159.9300,5312000
2011-03-08,159.7000,163.4300,159.2100,162.2800,5384800
2011-03-09,163.4700,167.7200,163.2800,165.8600,9086600
2011-03-10,164.6400,164.6700,161.3800,162.0200,7041400
2011-03-11,162.4000,163.2400,160.8400,162.4300,4271000
2011-03-14,161.1600,161.9804,160.0900,161.3900,4300500
2011-03-15,157.3500,159.6400,156.8800,159.0200,6475800
2011-03-16,156.5200,156.9800,151.7100,153.0000,12195300
2011-03-17,154.0000,154.5000,152.7000,154.1800,7376400
2011-03-18,156.5000,156.9500,154.3200,155.8900,11450000
2011-03-21,157.6400,159.6300,157.0700,157.6800,5784000
2011-03-22,158.5600,158.6100,157.5200,158.0000,4311400
2011-03-23,158.0000,160.0800,157.5300,159.5300,4782500
2011-03-24,160.2300,160.7100,158.8400,160.0400,5145800
2011-03-25,160.9800,162.7400,160.7600,162.1800,5348100
2011-03-28,161.5400,162.5800,161.1200,161.3700,3972800
2011-03-29,161.3400,163.0900,161.1500,162.8800,3456700
2011-03-30,163.5500,163.9900,163.0200,163.6000,3394100
2011-03-31,163.4000,164.0600,163.0700,163.0700,3860800
2011-04-01,163.7000,164.4200,163.0400,164.2700,4381900
2011-04-04,164.4200,164.7300,163.5800,164.2500,3225100
2011-04-05,163.8100,164.7000,163.6200,163.9900,3612000
2011-04-06,164.3400,164.7500,163.8100,164.0400,3774800
